#gene	symbol	name
10154	PLXNC1	plexin C1
10155	TRIM28	tripartite motif containing 28
10156	RASA4	RAS p21 protein activator 4
10157	AASS	aminoadipate-semialdehyde synthase
10158	PDZK1IP1	PDZK1 interacting protein 1
10159	ATP6AP2	ATPase, H+ transporting, lysosomal accessory protein 2
10160	FARP1	FERM, RhoGEF (ARHGEF) and pleckstrin domain protein 1 (chondrocyte-derived)
10161	LPAR6	lysophosphatidic acid receptor 6
10162	LPCAT3	lysophosphatidylcholine acyltransferase 3
10163	WASF2	WAS protein family, member 2
10164	CHST4	carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 4
10165	SLC25A13	solute carrier family 25 (aspartate/glutamate carrier), member 13
10166	SLC25A15	solute carrier family 25 (mitochondrial carrier; ornithine transporter) member 15
10167	CFM1	cystic fibrosis modifier 1
10168	ZNF197	zinc finger protein 197
10169	SERF2	small EDRK-rich factor 2
10170	DHRS9	dehydrogenase/reductase (SDR family) member 9
10171	RCL1	RNA terminal phosphate cyclase-like 1
10172	ZNF256	zinc finger protein 256
10174	SORBS3	sorbin and SH3 domain containing 3
10175	CNIH1	cornichon family AMPA receptor auxiliary protein 1
10178	TENM1	teneurin transmembrane protein 1
10179	RBM7	RNA binding motif protein 7
10180	RBM6	RNA binding motif protein 6
10181	RBM5	RNA binding motif protein 5
10184	LHFPL2	lipoma HMGIC fusion partner-like 2
10186	LHFP	lipoma HMGIC fusion partner
10187	VDAC1P5	voltage-dependent anion channel 1 pseudogene 5
10188	TNK2	tyrosine kinase, non-receptor, 2
10189	ALYREF	Aly/REF export factor
10190	TXNDC9	thioredoxin domain containing 9
10193	RNF41	ring finger protein 41
10194	TSHZ1	teashirt zinc finger homeobox 1
10195	ALG3	ALG3, alpha-1,3- mannosyltransferase
10196	PRMT3	protein arginine methyltransferase 3
10197	PSME3	proteasome (prosome, macropain) activator subunit 3 (PA28 gamma; Ki)
10198	MPHOSPH9	M-phase phosphoprotein 9
10199	MPHOSPH10	M-phase phosphoprotein 10 (U3 small nucleolar ribonucleoprotein)
10200	MPHOSPH6	M-phase phosphoprotein 6
10201	NME6	NME/NM23 nucleoside diphosphate kinase 6
10202	DHRS2	dehydrogenase/reductase (SDR family) member 2
10203	CALCRL	calcitonin receptor-like
10204	NUTF2	nuclear transport factor 2
10205	MPZL2	myelin protein zero-like 2
10206	TRIM13	tripartite motif containing 13
10207	INADL	InaD-like (Drosophila)
10208	USPL1	ubiquitin specific peptidase like 1
10209	EIF1	eukaryotic translation initiation factor 1
10210	TOPORS	topoisomerase I binding, arginine/serine-rich, E3 ubiquitin protein ligase
10211	FLOT1	flotillin 1
10212	DDX39A	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39A
10213	PSMD14	proteasome (prosome, macropain) 26S subunit, non-ATPase, 14
10214	SSX3	synovial sarcoma, X breakpoint 3
10215	OLIG2	oligodendrocyte lineage transcription factor 2
10216	PRG4	proteoglycan 4
10217	CTDSPL	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase-like
10218	ANGPTL7	angiopoietin-like 7
10219	KLRG1	killer cell lectin-like receptor subfamily G, member 1
10220	GDF11	growth differentiation factor 11
10221	TRIB1	tribbles pseudokinase 1
10223	GPA33	glycoprotein A33 (transmembrane)
10224	ZNF443	zinc finger protein 443
10225	CD96	CD96 molecule
10226	PLIN3	perilipin 3
10227	MFSD10	major facilitator superfamily domain containing 10
10228	STX6	syntaxin 6
10229	COQ7	coenzyme Q7 homolog, ubiquinone (yeast)
10230	NBR2	neighbor of BRCA1 gene 2 (non-protein coding)
10231	RCAN2	regulator of calcineurin 2
10232	MSLN	mesothelin
10233	LRRC23	leucine rich repeat containing 23
10234	LRRC17	leucine rich repeat containing 17
10235	RASGRP2	RAS guanyl releasing protein 2 (calcium and DAG-regulated)
10236	HNRNPR	heterogeneous nuclear ribonucleoprotein R
10237	SLC35B1	solute carrier family 35, member B1
10238	DCAF7	DDB1 and CUL4 associated factor 7
10239	AP3S2	adaptor-related protein complex 3, sigma 2 subunit
10240	MRPS31	mitochondrial ribosomal protein S31
10241	CALCOCO2	calcium binding and coiled-coil domain 2
10242	KCNMB2	potassium large conductance calcium-activated channel, subfamily M, beta member 2
10243	GPHN	gephyrin
10244	RABEPK	Rab9 effector protein with kelch motifs
10245	TIMM17B	translocase of inner mitochondrial membrane 17 homolog B (yeast)
10246	SLC17A2	solute carrier family 17, member 2
10247	HRSP12	heat-responsive protein 12
10248	POP7	processing of precursor 7, ribonuclease P/MRP subunit (S. cerevisiae)
10249	GLYAT	glycine-N-acyltransferase
10250	SRRM1	serine/arginine repetitive matrix 1
10251	SPRY3	sprouty homolog 3 (Drosophila)
10252	SPRY1	sprouty homolog 1, antagonist of FGF signaling (Drosophila)
10253	SPRY2	sprouty homolog 2 (Drosophila)
10254	STAM2	signal transducing adaptor molecule (SH3 domain and ITAM motif) 2
10255	HCG9	HLA complex group 9 (non-protein coding)
10256	CNKSR1	connector enhancer of kinase suppressor of Ras 1
10257	ABCC4	ATP-binding cassette, sub-family C (CFTR/MRP), member 4
10260	DENND4A	DENN/MADD domain containing 4A
10261	IGSF6	immunoglobulin superfamily, member 6
10262	SF3B4	splicing factor 3b, subunit 4, 49kDa
10263	CDK2AP2	cyclin-dependent kinase 2 associated protein 2
10265	IRX5	iroquois homeobox 5
10266	RAMP2	receptor (G protein-coupled) activity modifying protein 2
10267	RAMP1	receptor (G protein-coupled) activity modifying protein 1
10268	RAMP3	receptor (G protein-coupled) activity modifying protein 3
10269	ZMPSTE24	zinc metallopeptidase STE24
10270	AKAP8	A kinase (PRKA) anchor protein 8
10272	FSTL3	follistatin-like 3 (secreted glycoprotein)
10273	STUB1	STIP1 homology and U-box containing protein 1, E3 ubiquitin protein ligase
10274	STAG1	stromal antigen 1
10276	NET1	neuroepithelial cell transforming 1
10277	UBE4B	ubiquitination factor E4B
10278	EFS	embryonal Fyn-associated substrate
10279	PRSS16	protease, serine, 16 (thymus)
10280	SIGMAR1	sigma non-opioid intracellular receptor 1
10281	DSCR4	Down syndrome critical region gene 4
10282	BET1	Bet1 golgi vesicular membrane trafficking protein
10283	CWC27	CWC27 spliceosome-associated protein homolog (S. cerevisiae)
10284	SAP18	Sin3A-associated protein, 18kDa
10285	SMNDC1	survival motor neuron domain containing 1
10286	BCAS2	breast carcinoma amplified sequence 2
10287	RGS19	regulator of G-protein signaling 19
10288	LILRB2	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 2
10289	EIF1B	eukaryotic translation initiation factor 1B
10290	SPEG	SPEG complex locus
10291	SF3A1	splicing factor 3a, subunit 1, 120kDa
10293	TRAIP	TRAF interacting protein
10294	DNAJA2	DnaJ (Hsp40) homolog, subfamily A, member 2
10295	BCKDK	branched chain ketoacid dehydrogenase kinase
10296	MAEA	macrophage erythroblast attacher
10297	APC2	adenomatosis polyposis coli 2
10298	PAK4	p21 protein (Cdc42/Rac)-activated kinase 4
10299	MARCH6	membrane-associated ring finger (C3HC4) 6, E3 ubiquitin protein ligase
10300	KATNB1	katanin p80 (WD repeat containing) subunit B 1
10301	DLEU1	deleted in lymphocytic leukemia 1 (non-protein coding)
10302	SNAPC5	small nuclear RNA activating complex, polypeptide 5, 19kDa
10305	MMDK	Mesomelic dysplasia, Kantaputra type
10306	CTPP	Cataract, posterior polar
10307	APBB3	amyloid beta (A4) precursor protein-binding, family B, member 3
10308	ZNF267	zinc finger protein 267
10309	CCNO	cyclin O
10311	DSCR3	Down syndrome critical region gene 3
10312	TCIRG1	T-cell, immune regulator 1, ATPase, H+ transporting, lysosomal V0 subunit A3
10313	RTN3	reticulon 3
10314	LANCL1	LanC lantibiotic synthetase component C-like 1 (bacterial)
10316	NMUR1	neuromedin U receptor 1
10317	B3GALT5	UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 5
10318	TNIP1	TNFAIP3 interacting protein 1
10319	LAMC3	laminin, gamma 3
10320	IKZF1	IKAROS family zinc finger 1 (Ikaros)
10321	CRISP3	cysteine-rich secretory protein 3
10322	SMYD5	SMYD family member 5
10324	KLHL41	kelch-like family member 41
10325	RRAGB	Ras-related GTP binding B
10326	SIRPB1	signal-regulatory protein beta 1
10327	AKR1A1	aldo-keto reductase family 1, member A1 (aldehyde reductase)
10328	EMC8	ER membrane protein complex subunit 8
10329	TMEM5	transmembrane protein 5
10330	CNPY2	canopy FGF signaling regulator 2
10331	B3GNT3	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3
10332	CLEC4M	C-type lectin domain family 4, member M
10333	TLR6	toll-like receptor 6
10335	MRVI1	murine retrovirus integration site 1 homolog
10336	PCGF3	polycomb group ring finger 3
10337	HIST1H4PS1	histone cluster 1, H4, pseudogene 1
10338	HIST1H1PS2	histone cluster 1, H1, pseudogene 2
10340	HIST1H2BPS2	histone cluster 1, H2b, pseudogene 2
10341	HIST1H2APS5	histone cluster 1, H2a, pseudogene 5
10342	TFG	TRK-fused gene
10343	PKDREJ	polycystin (PKD) family receptor for egg jelly
10344	CCL26	chemokine (C-C motif) ligand 26
10345	TRDN	triadin
10346	TRIM22	tripartite motif containing 22
10347	ABCA7	ATP-binding cassette, sub-family A (ABC1), member 7
10349	ABCA10	ATP-binding cassette, sub-family A (ABC1), member 10
10350	ABCA9	ATP-binding cassette, sub-family A (ABC1), member 9
10351	ABCA8	ATP-binding cassette, sub-family A (ABC1), member 8
10352	WARS2	tryptophanyl tRNA synthetase 2, mitochondrial
10354	HMGB1P5	high mobility group box 1 pseudogene 5
10355	HMGB1P4	high mobility group box 1 pseudogene 4
10356	HMGB1P3	high mobility group box 1 pseudogene 3
10357	HMGB1P1	high mobility group box 1 pseudogene 1
10360	NPM3	nucleophosmin/nucleoplasmin 3
10361	NPM2	nucleophosmin/nucleoplasmin 2
10362	HMG20B	high mobility group 20B
10363	HMG20A	high mobility group 20A
10365	KLF2	Kruppel-like factor 2
10367	MICU1	mitochondrial calcium uptake 1
10368	CACNG3	calcium channel, voltage-dependent, gamma subunit 3
10369	CACNG2	calcium channel, voltage-dependent, gamma subunit 2
10370	CITED2	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2
10371	SEMA3A	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A
10376	TUBA1B	tubulin, alpha 1b
10379	IRF9	interferon regulatory factor 9
10380	BPNT1	3'(2'), 5'-bisphosphate nucleotidase 1
10381	TUBB3	tubulin, beta 3 class III
10382	TUBB4A	tubulin, beta 4A class IVa
10383	TUBB4B	tubulin, beta 4B class IVb
10384	BTN3A3	butyrophilin, subfamily 3, member A3
10385	BTN2A2	butyrophilin, subfamily 2, member A2
10386	MHW1	Mental health wellness 1
10388	SYCP2	synaptonemal complex protein 2
10389	SCML2	sex comb on midleg-like 2 (Drosophila)
10390	CEPT1	choline/ethanolamine phosphotransferase 1
10391	CORO2B	coronin, actin binding protein, 2B
10392	NOD1	nucleotide-binding oligomerization domain containing 1
10393	ANAPC10	anaphase promoting complex subunit 10
10394	PRG3	proteoglycan 3
10395	DLC1	deleted in liver cancer 1
10396	ATP8A1	ATPase, aminophospholipid transporter (APLT), class I, type 8A, member 1
10397	NDRG1	N-myc downstream regulated 1
10398	MYL9	myosin, light chain 9, regulatory
10399	GNB2L1	guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1
10400	PEMT	phosphatidylethanolamine N-methyltransferase
10401	PIAS3	protein inhibitor of activated STAT, 3
10402	ST3GAL6	ST3 beta-galactoside alpha-2,3-sialyltransferase 6
10403	NDC80	NDC80 kinetochore complex component
10404	CPQ	carboxypeptidase Q
10406	WFDC2	WAP four-disulfide core domain 2
10407	SPAG11B	sperm associated antigen 11B
10408	MYCNOS	MYCN opposite strand/antisense RNA
10409	BASP1	brain abundant, membrane attached signal protein 1
10410	IFITM3	interferon induced transmembrane protein 3
10411	RAPGEF3	Rap guanine nucleotide exchange factor (GEF) 3
10412	NSA2	NSA2 ribosome biogenesis homolog (S. cerevisiae)
10413	YAP1	Yes-associated protein 1
10415	SNAI1P1	snail family zinc finger 1 pseudogene 1
10417	SPON2	spondin 2, extracellular matrix protein
10418	SPON1	spondin 1, extracellular matrix protein
10419	PRMT5	protein arginine methyltransferase 5
10420	TESK2	testis-specific kinase 2
10421	CD2BP2	CD2 (cytoplasmic tail) binding protein 2
10422	UBAC1	UBA domain containing 1
10423	CDIPT	CDP-diacylglycerol--inositol 3-phosphatidyltransferase
10424	PGRMC2	progesterone receptor membrane component 2
10425	ARIH2	ariadne RBR E3 ubiquitin protein ligase 2
10426	TUBGCP3	tubulin, gamma complex associated protein 3
10427	SEC24B	SEC24 family member B
10428	CFDP1	craniofacial development protein 1
10430	TMEM147	transmembrane protein 147
10432	RBM14	RNA binding motif protein 14
10434	LYPLA1	lysophospholipase I
10435	CDC42EP2	CDC42 effector protein (Rho GTPase binding) 2
10436	EMG1	EMG1 N1-specific pseudouridine methyltransferase
10437	IFI30	interferon, gamma-inducible protein 30
10438	C1D	C1D nuclear receptor corepressor
10439	OLFM1	olfactomedin 1
10440	TIMM17A	translocase of inner mitochondrial membrane 17 homolog A (yeast)
10443	N4BP2L2	NEDD4 binding protein 2-like 2
10444	ZER1	zyg-11 related, cell cycle regulator
10445	MCRS1	microspherule protein 1
10446	LRRN2	leucine rich repeat neuronal 2
10447	FAM3C	family with sequence similarity 3, member C
10449	ACAA2	acetyl-CoA acyltransferase 2
10450	PPIE	peptidylprolyl isomerase E (cyclophilin E)
10451	VAV3	vav 3 guanine nucleotide exchange factor
10452	TOMM40	translocase of outer mitochondrial membrane 40 homolog (yeast)
10454	TAB1	TGF-beta activated kinase 1/MAP3K7 binding protein 1
10455	ECI2	enoyl-CoA delta isomerase 2
10456	HAX1	HCLS1 associated protein X-1
10457	GPNMB	glycoprotein (transmembrane) nmb
10458	BAIAP2	BAI1-associated protein 2
10459	MAD2L2	MAD2 mitotic arrest deficient-like 2 (yeast)
10460	TACC3	transforming, acidic coiled-coil containing protein 3
10461	MERTK	c-mer proto-oncogene tyrosine kinase
10462	CLEC10A	C-type lectin domain family 10, member A
10463	SLC30A9	solute carrier family 30 (zinc transporter), member 9
10464	PIBF1	progesterone immunomodulatory binding factor 1
10465	PPIH	peptidylprolyl isomerase H (cyclophilin H)
10466	COG5	component of oligomeric golgi complex 5
10467	ZNHIT1	zinc finger, HIT-type containing 1
10468	FST	follistatin
10469	TIMM44	translocase of inner mitochondrial membrane 44 homolog (yeast)
10470	D6S2723E	DNA segment on chromosome 6 (unique, pseudogene) 2723 expressed sequence
10471	PFDN6	prefoldin subunit 6
10472	ZBTB18	zinc finger and BTB domain containing 18
10473	HMGN4	high mobility group nucleosomal binding domain 4
10474	TADA3	transcriptional adaptor 3
10475	TRIM38	tripartite motif containing 38
10476	ATP5H	ATP synthase, H+ transporting, mitochondrial Fo complex, subunit d
10477	UBE2E3	ubiquitin-conjugating enzyme E2E 3
10478	SLC25A17	solute carrier family 25 (mitochondrial carrier; peroxisomal membrane protein, 34kDa), member 17
10479	SLC9A6	solute carrier family 9, subfamily A (NHE6, cation proton antiporter 6), member 6
10480	EIF3M	eukaryotic translation initiation factor 3, subunit M
10481	HOXB13	homeobox B13
10482	NXF1	nuclear RNA export factor 1
10483	SEC23B	Sec23 homolog B (S. cerevisiae)
10484	SEC23A	Sec23 homolog A (S. cerevisiae)
10485	C1orf61	chromosome 1 open reading frame 61
10486	CAP2	CAP, adenylate cyclase-associated protein, 2 (yeast)
10487	CAP1	CAP, adenylate cyclase-associated protein 1 (yeast)
10488	CREB3	cAMP responsive element binding protein 3
10489	LRRC41	leucine rich repeat containing 41
10490	VTI1B	vesicle transport through interaction with t-SNAREs 1B
10491	CRTAP	cartilage associated protein
10492	SYNCRIP	synaptotagmin binding, cytoplasmic RNA interacting protein
10493	VAT1	vesicle amine transport 1
10494	STK25	serine/threonine kinase 25
10495	ENOX2	ecto-NOX disulfide-thiol exchanger 2
10497	UNC13B	unc-13 homolog B (C. elegans)
10498	CARM1	coactivator-associated arginine methyltransferase 1
10499	NCOA2	nuclear receptor coactivator 2
10500	SEMA6C	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6C
10501	SEMA6B	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6B
10505	SEMA4F	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4F
10507	SEMA4D	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4D
10509	SEMA4B	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4B
10512	SEMA3C	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C
10513	APPBP2	amyloid beta precursor protein (cytoplasmic tail) binding protein 2
10514	MYBBP1A	MYB binding protein (P160) 1a
10516	FBLN5	fibulin 5
10517	FBXW10	F-box and WD repeat domain containing 10
10518	CIB2	calcium and integrin binding family member 2
10519	CIB1	calcium and integrin binding 1 (calmyrin)
10520	ZNF211	zinc finger protein 211
10521	DDX17	DEAD (Asp-Glu-Ala-Asp) box helicase 17
10522	DEAF1	DEAF1 transcription factor
10523	CHERP	calcium homeostasis endoplasmic reticulum protein
10524	KAT5	K(lysine) acetyltransferase 5
10525	HYOU1	hypoxia up-regulated 1
10526	IPO8	importin 8
10527	IPO7	importin 7
10528	NOP56	NOP56 ribonucleoprotein
10529	NEBL	nebulette
10531	PITRM1	pitrilysin metallopeptidase 1
10533	ATG7	autophagy related 7
10534	SSSCA1	Sjogren syndrome/scleroderma autoantigen 1
10535	RNASEH2A	ribonuclease H2, subunit A
10536	LEPREL2	leprecan-like 2
10537	UBD	ubiquitin D
10538	BATF	basic leucine zipper transcription factor, ATF-like
10539	GLRX3	glutaredoxin 3
10540	DCTN2	dynactin 2 (p50)
10541	ANP32B	acidic (leucine-rich) nuclear phosphoprotein 32 family, member B
10542	LAMTOR5	late endosomal/lysosomal adaptor, MAPK and MTOR activator 5
10544	PROCR	protein C receptor, endothelial
10547	PSORS4	psoriasis susceptibility 4
10548	TM9SF1	transmembrane 9 superfamily member 1
10549	PRDX4	peroxiredoxin 4
10550	ARL6IP5	ADP-ribosylation-like factor 6 interacting protein 5
10551	AGR2	anterior gradient 2
10552	ARPC1A	actin related protein 2/3 complex, subunit 1A, 41kDa
10553	HTATIP2	HIV-1 Tat interactive protein 2, 30kDa
10554	AGPAT1	1-acylglycerol-3-phosphate O-acyltransferase 1
10555	AGPAT2	1-acylglycerol-3-phosphate O-acyltransferase 2
10556	RPP30	ribonuclease P/MRP 30kDa subunit
10557	RPP38	ribonuclease P/MRP 38kDa subunit
10558	SPTLC1	serine palmitoyltransferase, long chain base subunit 1
10559	SLC35A1	solute carrier family 35 (CMP-sialic acid transporter), member A1
10560	SLC19A2	solute carrier family 19 (thiamine transporter), member 2
10561	IFI44	interferon-induced protein 44
10562	OLFM4	olfactomedin 4
10563	CXCL13	chemokine (C-X-C motif) ligand 13
10564	ARFGEF2	ADP-ribosylation factor guanine nucleotide-exchange factor 2 (brefeldin A-inhibited)
10565	ARFGEF1	ADP-ribosylation factor guanine nucleotide-exchange factor 1 (brefeldin A-inhibited)
10566	AKAP3	A kinase (PRKA) anchor protein 3
10567	RABAC1	Rab acceptor 1 (prenylated)
10568	SLC34A2	solute carrier family 34 (type II sodium/phosphate contransporter), member 2
10569	SLU7	SLU7 splicing factor homolog (S. cerevisiae)
10570	DPYSL4	dihydropyrimidinase-like 4
10572	SIVA1	SIVA1, apoptosis-inducing factor
10573	MRPL28	mitochondrial ribosomal protein L28
10574	CCT7	chaperonin containing TCP1, subunit 7 (eta)
10575	CCT4	chaperonin containing TCP1, subunit 4 (delta)
10576	CCT2	chaperonin containing TCP1, subunit 2 (beta)
10577	NPC2	Niemann-Pick disease, type C2
10578	GNLY	granulysin
10579	TACC2	transforming, acidic coiled-coil containing protein 2
10580	SORBS1	sorbin and SH3 domain containing 1
10581	IFITM2	interferon induced transmembrane protein 2
10584	COLEC10	collectin sub-family member 10 (C-type lectin)
10585	POMT1	protein-O-mannosyltransferase 1
10586	MAB21L2	mab-21-like 2 (C. elegans)
10587	TXNRD2	thioredoxin reductase 2
10588	MTHFS	5,10-methenyltetrahydrofolate synthetase (5-formyltetrahydrofolate cyclo-ligase)
10589	DRAP1	DR1-associated protein 1 (negative cofactor 2 alpha)
10590	SCGN	secretagogin, EF-hand calcium binding protein
10591	DNPH1	2'-deoxynucleoside 5'-phosphate N-hydrolase 1
10592	SMC2	structural maintenance of chromosomes 2
10594	PRPF8	pre-mRNA processing factor 8
10595	ERN2	endoplasmic reticulum to nucleus signaling 2
10597	TRAPPC2P1	trafficking protein particle complex 2 pseudogene 1
10598	AHSA1	AHA1, activator of heat shock 90kDa protein ATPase homolog 1 (yeast)
10599	SLCO1B1	solute carrier organic anion transporter family, member 1B1
10600	USP16	ubiquitin specific peptidase 16
10602	CDC42EP3	CDC42 effector protein (Rho GTPase binding) 3
10603	SH2B2	SH2B adaptor protein 2
10605	PAIP1	poly(A) binding protein interacting protein 1
10606	PAICS	phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase
10607	TBL3	transducin (beta)-like 3
10608	MXD4	MAX dimerization protein 4
10609	LEPREL4	leprecan-like 4
10610	ST6GALNAC2	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 2
10611	PDLIM5	PDZ and LIM domain 5
10612	TRIM3	tripartite motif containing 3
10613	ERLIN1	ER lipid raft associated 1
10614	HEXIM1	hexamethylene bis-acetamide inducible 1
10615	SPAG5	sperm associated antigen 5
10616	RBCK1	RanBP-type and C3HC4-type zinc finger containing 1
10617	STAMBP	STAM binding protein
10618	TGOLN2	trans-golgi network protein 2
10620	ARID3B	AT rich interactive domain 3B (BRIGHT-like)
10621	POLR3F	polymerase (RNA) III (DNA directed) polypeptide F, 39 kDa
10622	POLR3G	polymerase (RNA) III (DNA directed) polypeptide G (32kD)
10623	POLR3C	polymerase (RNA) III (DNA directed) polypeptide C (62kD)
10625	IVNS1ABP	influenza virus NS1A binding protein
10626	TRIM16	tripartite motif containing 16
10627	MYL12A	myosin, light chain 12A, regulatory, non-sarcomeric
10628	TXNIP	thioredoxin interacting protein
10629	TAF6L	TAF6-like RNA polymerase II, p300/CBP-associated factor (PCAF)-associated factor, 65kDa
10630	PDPN	podoplanin
10631	POSTN	periostin, osteoblast specific factor
10632	ATP5L	ATP synthase, H+ transporting, mitochondrial Fo complex, subunit G
10633	RASL10A	RAS-like, family 10, member A
10634	GAS2L1	growth arrest-specific 2 like 1
10635	RAD51AP1	RAD51 associated protein 1
10636	RGS14	regulator of G-protein signaling 14
10637	LEFTY1	left-right determination factor 1
10638	SPHAR	S-phase response (cyclin related)
10639	HHCM	Mahlavu hepatocellular carcinoma
10640	EXOC5	exocyst complex component 5
10641	NPRL2	nitrogen permease regulator-like 2 (S. cerevisiae)
10642	IGF2BP1	insulin-like growth factor 2 mRNA binding protein 1
10643	IGF2BP3	insulin-like growth factor 2 mRNA binding protein 3
10644	IGF2BP2	insulin-like growth factor 2 mRNA binding protein 2
10645	CAMKK2	calcium/calmodulin-dependent protein kinase kinase 2, beta
10647	SCGB1D2	secretoglobin, family 1D, member 2
10648	SCGB1D1	secretoglobin, family 1D, member 1
10650	SLMO1	slowmo homolog 1 (Drosophila)
10651	MTX2	metaxin 2
10652	YKT6	YKT6 v-SNARE homolog (S. cerevisiae)
10653	SPINT2	serine peptidase inhibitor, Kunitz type, 2
10654	PMVK	phosphomevalonate kinase
10655	DMRT2	doublesex and mab-3 related transcription factor 2
10656	KHDRBS3	KH domain containing, RNA binding, signal transduction associated 3
10657	KHDRBS1	KH domain containing, RNA binding, signal transduction associated 1
10658	CELF1	CUGBP, Elav-like family member 1
10659	CELF2	CUGBP, Elav-like family member 2
10660	LBX1	ladybird homeobox 1
10661	KLF1	Kruppel-like factor 1 (erythroid)
10663	CXCR6	chemokine (C-X-C motif) receptor 6
10664	CTCF	CCCTC-binding factor (zinc finger protein)
10665	C6orf10	chromosome 6 open reading frame 10
10666	CD226	CD226 molecule
10667	FARS2	phenylalanyl-tRNA synthetase 2, mitochondrial
10668	CGRRF1	cell growth regulator with ring finger domain 1
10669	CGREF1	cell growth regulator with EF-hand domain 1
10670	RRAGA	Ras-related GTP binding A
10671	DCTN6	dynactin 6
10672	GNA13	guanine nucleotide binding protein (G protein), alpha 13
10673	TNFSF13B	tumor necrosis factor (ligand) superfamily, member 13b
10674	DURS1	Duane retraction syndrome 1
10675	CSPG5	chondroitin sulfate proteoglycan 5 (neuroglycan C)
10677	AVIL	advillin
10678	B3GNT2	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2
10681	GNB5	guanine nucleotide binding protein (G protein), beta 5
10682	EBP	emopamil binding protein (sterol isomerase)
10683	DLL3	delta-like 3 (Drosophila)
10686	CLDN16	claudin 16
10687	PNMA2	paraneoplastic Ma antigen 2
10688	CRSP5	cofactor required for Sp1 transcriptional activation, subunit 5, 85kDa
10690	FUT9	fucosyltransferase 9 (alpha (1,3) fucosyltransferase)
10691	GMEB1	glucocorticoid modulatory element binding protein 1
10692	RRH	retinal pigment epithelium-derived rhodopsin homolog
10693	CCT6B	chaperonin containing TCP1, subunit 6B (zeta 2)
10694	CCT8	chaperonin containing TCP1, subunit 8 (theta)
10695	CNPY3	canopy FGF signaling regulator 3
10699	CORIN	corin, serine peptidase
10712	FAM189B	family with sequence similarity 189, member B
10713	USP39	ubiquitin specific peptidase 39
10714	POLD3	polymerase (DNA-directed), delta 3, accessory subunit
10715	CERS1	ceramide synthase 1
10716	TBR1	T-box, brain, 1
10717	AP4B1	adaptor-related protein complex 4, beta 1 subunit
10718	NRG3	neuregulin 3
10720	UGT2B11	UDP glucuronosyltransferase 2 family, polypeptide B11
10721	POLQ	polymerase (DNA directed), theta
10723	SLC12A7	solute carrier family 12 (potassium/chloride transporter), member 7
10724	MGEA5	meningioma expressed antigen 5 (hyaluronidase)
10725	NFAT5	nuclear factor of activated T-cells 5, tonicity-responsive
10726	NUDC	nudC nuclear distribution protein
10728	PTGES3	prostaglandin E synthase 3 (cytosolic)
10730	YME1L1	YME1-like 1 ATPase
10732	TCFL5	transcription factor-like 5 (basic helix-loop-helix)
10733	PLK4	polo-like kinase 4
10734	STAG3	stromal antigen 3
10735	STAG2	stromal antigen 2
10736	SIX2	SIX homeobox 2
10737	RFPL3S	RFPL3 antisense
10738	RFPL3	ret finger protein-like 3
10739	RFPL2	ret finger protein-like 2
10740	RFPL1S	RFPL1 antisense RNA 1
10741	RBBP9	retinoblastoma binding protein 9
10742	RAI2	retinoic acid induced 2
10743	RAI1	retinoic acid induced 1
10744	PTTG2	pituitary tumor-transforming 2
10745	PHTF1	putative homeodomain transcription factor 1
10746	MAP3K2	mitogen-activated protein kinase kinase kinase 2
10747	MASP2	mannan-binding lectin serine peptidase 2
10748	KLRAP1	killer cell lectin-like receptor subfamily A pseudogene 1
10749	KIF1C	kinesin family member 1C
10750	GRAP	GRB2-related adaptor protein
10751	OFD1P18Y	OFD1 pseudogene 18, Y-linked
10752	CHL1	cell adhesion molecule L1-like
10753	CAPN9	calpain 9
10755	GIPC1	GIPC PDZ domain containing family, member 1
10758	TRAF3IP2	TRAF3 interacting protein 2
10761	PLAC1	placenta-specific 1
10762	NUP50	nucleoporin 50kDa
10763	NES	nestin
10765	KDM5B	lysine (K)-specific demethylase 5B
10766	TOB2	transducer of ERBB2, 2
10767	HBS1L	HBS1-like (S. cerevisiae)
